250,12083,12084
252,16922
254,16988
255,16321
258,12614
259,15037
260,13461
261,15164
262,12414
263,13011
267,15237
270,12129
272,16977
273,15292
275,16338
276,16355
284,11810
291,12758
292,16278
293,12740
294,14530
296,12082
300,13360
302,16455
304,30891
306,14965
308,15286
309,15118
313,12879
327,16200
328,13536
329,15766
330,13827
333,13606
336,12114
338,16283
344,16406
348,12227
350,15404
354,14556
356,15264
358,11455
363,12990
365,11813
367,11814
369,15780
370,11808
372,16384
379,16171
384,16091
385,12219
388,15445
392,61310
394,16060
395,25277
396,15771
397,16022
398,16056
401,13841
402,12222
403,15262
404,12856
406,25494
7871,27600
7874,28461
7876,31181
7879,30964
7882,31182
7884,30986
7885,30988
7886,30452
7887,29326
7890,30417,30419
7896,31310
7897,30455
