sourceA,idA,sourceB,idB,overlap,similarity
zeri,33839,zeri,33838,99.42,76.50
zeri,33840,zeri,33837,97.03,74.50
zeri,33840,zeri,33835,100.00,9.41
zeri,33841,zeri,33843,100.00,40.00
zeri,33841,zeri,33842,100.00,38.40
zeri,33842,zeri,33843,99.26,65.90
zeri,33842,zeri,33841,86.52,40.80
zeri,33843,zeri,33842,99.88,63.90
zeri,33843,zeri,33841,87.63,40.00
zeri,33845,frick,514,94.60,38.80
zeri,33847,zeri,33848,100.00,71.00
zeri,33847,zeri,33846,99.17,69.80
zeri,33847,zeri,33849,99.01,53.30
zeri,33846,zeri,33847,97.39,67.10
zeri,33846,zeri,33848,97.90,62.00
zeri,33846,zeri,33849,99.93,51.00
zeri,33848,zeri,33847,97.27,71.30
zeri,33848,zeri,33846,96.08,65.40
zeri,33848,zeri,33849,97.03,45.70
zeri,33849,zeri,33846,67.20,49.80
zeri,33849,zeri,33847,65.17,49.00
zeri,33849,zeri,33848,66.13,41.20
zeri,33850,zeri,33851,78.12,11.40
zeri,33851,zeri,33852,100.00,60.80
zeri,33851,zeri,33850,100.00,10.60
zeri,33852,zeri,33851,97.70,63.10
zeri,33853,zeri,33854,99.75,68.10
zeri,33853,zeri,33855,96.56,16.90
zeri,33855,zeri,33853,85.47,17.60
zeri,33855,zeri,33854,86.84,14.90
zeri,33854,zeri,33853,97.19,67.50
zeri,33854,zeri,33855,96.45,14.90
zeri,33860,zeri,33861,98.01,65.90
zeri,33861,zeri,33860,99.94,65.50
zeri,33863,zeri,33864,98.25,71.80
zeri,33864,zeri,33863,99.41,71.00
zeri,33866,zeri,33867,100.00,48.60
zeri,33867,zeri,33866,95.37,48.60
zeri,33880,zeri,33883,100.00,44.70
zeri,33880,zeri,33884,100.00,43.90
zeri,33880,zeri,33880i,100.00,17.30
zeri,33880i,zeri,33880,33.59,17.80
zeri,33880i,zeri,30879,32.66,17.40
zeri,33880i,zeri,33884,36.05,12.60
zeri,33880i,zeri,33881,35.54,12.30
zeri,33880i,zeri,33882,35.21,11.10
zeri,33880i,zeri,33883,34.84,10.70
zeri,33881,zeri,33882,99.51,68.10
zeri,33881,zeri,30879,91.96,35.80
zeri,33881,zeri,33880i,98.89,11.80
zeri,33882,zeri,33881,99.55,69.80
zeri,33882,zeri,30879,92.68,35.70
zeri,33882,zeri,33880i,98.48,11.00
zeri,33883,zeri,33884,100.00,67.10
zeri,33883,zeri,33880,94.09,43.90
zeri,33883,zeri,33880i,98.43,10.60
zeri,33884,zeri,33883,97.03,68.50
zeri,33884,zeri,33880,91.28,45.30
zeri,33884,zeri,33880i,98.30,14.20
zeri,33885,zeri,33727,78.10,30.70
zeri,33886,zeri,33728,77.60,38.60
zeri,33896,zeri,33897,99.75,13.30
zeri,33897,zeri,33896,93.77,11.00
zeri,33898,zeri,33899,100.00,13.70
zeri,33899,zeri,33898,79.78,15.30
zeri,33900,zeri,33902,90.08,48.60
zeri,33900,zeri,33903,100.00,30.20
zeri,33900,zeri,33901,100.00,25.90
zeri,33901,zeri,33900,83.19,27.10
zeri,33901,zeri,33903,94.24,22.70
zeri,33901,zeri,33902,73.23,19.60
zeri,33902,zeri,33900,100.00,48.60
zeri,33902,zeri,33903,100.00,22.70
zeri,33902,zeri,33901,100.00,19.60
zeri,33903,zeri,33900,89.31,34.10
zeri,33903,zeri,33901,100.00,23.10
zeri,33903,zeri,33902,79.95,23.10
zeri,33905,zeri,33906,94.05,9.02
zeri,33906,zeri,33905,99.15,9.41
zeri,33914,zeri,33915,96.02,63.10
zeri,33915,zeri,33914,100.00,63.50
zeri,33918,zeri,33919,66.10,44.00
zeri,33919,zeri,33918,97.95,43.50
zeri,33923,zeri,33922,99.56,11.40
zeri,33925,zeri,33927,98.59,43.10
zeri,33925,zeri,33928,98.96,41.60
zeri,33925,zeri,33926,99.49,38.80
zeri,33926,zeri,33925,98.14,40.00
zeri,33926,zeri,33927,97.34,22.40
zeri,33926,zeri,33928,97.39,18.40
zeri,33927,zeri,33928,97.56,59.60
zeri,33927,zeri,33925,99.25,42.70
zeri,33927,zeri,33926,98.62,22.00
zeri,33928,zeri,33927,98.11,61.20
zeri,33928,zeri,33925,99.87,40.80
zeri,33928,zeri,33926,99.91,18.00
zeri,33929,zeri,33930,100.00,23.10
zeri,33929,zeri,33931,100.00,21.60
zeri,33929,zeri,33932,100.00,21.60
zeri,33930,zeri,33929,84.47,20.80
zeri,33930,zeri,33932,96.50,18.80
zeri,33930,zeri,33931,95.76,16.50
zeri,33931,zeri,33932,100.00,58.80
zeri,33931,zeri,33929,88.63,20.40
zeri,33931,zeri,33930,100.00,16.50
zeri,33932,zeri,33931,99.22,58.80
zeri,33932,zeri,33929,87.63,21.60
zeri,33932,zeri,33930,99.73,20.00
zeri,33938,zeri,33937,97.57,16.50
zeri,33937,zeri,33938,99.52,12.90
zeri,33943,zeri,33945,100.00,29.00
zeri,33944,zeri,33945,97.21,12.70
zeri,33945,zeri,33943,96.05,24.80
zeri,33945,zeri,33944,94.98,14.60
zeri,33958,zeri,33959,99.97,30.60
zeri,33958,zeri,33960,100.00,30.60
zeri,33959,zeri,33960,100.00,62.70
zeri,33959,zeri,33958,95.32,31.40
zeri,33960,zeri,33959,98.07,64.70
zeri,33960,zeri,33958,93.92,34.90
zeri,33964,zeri,33970,91.95,15.30
zeri,33964,zeri,33965,100.00,11.80
zeri,33968,zeri,33970,100.00,11.00
zeri,33970,zeri,33964,98.75,13.30
zeri,33970,zeri,33968,14.53,9.80
zeri,33972,zeri,33973,99.98,59.40
zeri,33972,zeri,33974,99.49,59.10
zeri,33974,zeri,33973,99.87,70.60
zeri,33974,zeri,33972,99.71,61.60
zeri,33973,zeri,33974,99.50,69.30
zeri,33973,zeri,33972,99.92,59.40
zeri,33975,zeri,33977,100.00,62.20
zeri,33975,zeri,33978,100.00,60.60
zeri,33975,zeri,33976,89.15,36.20
zeri,33976,zeri,33977,100.00,39.40
zeri,33976,zeri,33978,100.00,37.00
zeri,33976,zeri,33975,99.93,34.60
zeri,33977,zeri,33978,99.74,69.80
zeri,33977,zeri,33975,99.19,62.00
zeri,33977,zeri,33976,87.14,38.40
zeri,33978,zeri,33977,99.53,70.20
zeri,33978,zeri,33975,98.76,61.60
zeri,33978,zeri,33976,87.39,36.10
zeri,33979,zeri,33980,99.53,65.10
zeri,33979,zeri,33981,100.00,52.20
zeri,33980,zeri,33979,97.80,66.30
zeri,33980,zeri,33981,100.00,55.30
zeri,33981,zeri,33979,93.76,53.70
zeri,33981,zeri,33980,96.22,52.90
zeri,33985,zeri,33991,100.00,12.20
zeri,33988,zeri,33989,96.86,63.00
zeri,33988,zeri,33991,93.83,29.10
zeri,33988,zeri,33990,93.90,27.20
zeri,33988,zeri,33987,97.89,26.40
zeri,33989,zeri,33988,99.22,65.90
zeri,33989,zeri,33991,95.75,33.70
zeri,33989,zeri,33990,94.66,28.60
zeri,33989,zeri,33987,96.29,26.30
zeri,33990,zeri,33989,98.85,29.00
zeri,33990,zeri,33987,100.00,28.20
zeri,33990,zeri,33991,98.71,27.80
zeri,33990,zeri,33988,100.00,27.50
zeri,33990,zeri,33985,68.82,9.41
zeri,33987,zeri,33990,97.56,29.40
zeri,33987,zeri,33988,100.00,28.20
zeri,33987,zeri,33989,96.55,26.70
zeri,33987,zeri,33991,95.29,23.90
zeri,33993,zeri,33995,97.91,25.90
zeri,33993,zeri,33994,97.18,14.10
zeri,33991,zeri,33989,99.43,29.80
zeri,33991,zeri,33988,99.89,29.00
zeri,33991,zeri,33990,98.42,28.20
zeri,33991,zeri,33987,99.45,19.20
zeri,33991,zeri,33985,70.12,14.10
zeri,33994,zeri,33995,97.08,18.80
zeri,33996,zeri,33997,100.00,68.60
zeri,33995,zeri,33993,91.97,29.00
zeri,33995,zeri,33994,87.80,18.40
zeri,33997,zeri,33996,98.14,67.80
zeri,33998,zeri,33999,99.55,65.90
zeri,33999,zeri,33998,99.66,67.30
zeri,34001,zeri,34002,28.02,9.02
zeri,34002,zeri,34001,100.00,9.41
zeri,34004,zeri,34003,100.00,30.60
zeri,34003,zeri,34004,95.53,31.90
zeri,34008,zeri,34009,100.00,64.30
zeri,34009,zeri,34008,99.07,63.90
zeri,34011,zeri,34012,87.47,25.90
zeri,34011,zeri,34013,87.57,24.30
zeri,34012,zeri,34013,99.82,67.50
zeri,34012,zeri,34011,97.53,24.30
zeri,34013,zeri,34012,98.41,69.00
zeri,34013,zeri,34011,96.02,21.20
zeri,34016,zeri,34017,41.26,20.40
zeri,34016,zeri,34015,100.00,10.60
zeri,34018,zeri,34017,100.00,16.50
zeri,34017,zeri,34016,90.02,16.50
zeri,34017,zeri,34018,25.43,16.50
zeri,34021,zeri,34022,47.28,15.40
zeri,34022,zeri,34021,100.00,14.90
zeri,34030,zeri,34029,76.78,11.80
zeri,34029,zeri,34030,100.00,12.90
zeri,34044,zeri,34045,89.90,12.50
zeri,34043,zeri,34045,97.46,14.50
zeri,34048,zeri,34049,97.51,66.10
zeri,34049,zeri,34048,97.28,64.60
zeri,34058,zeri,34065,20.92,8.24
zeri,34061,zeri,34062,30.53,9.41
zeri,34061,zeri,34063,28.15,6.67
zeri,34061,zeri,34098,64.83,6.67
zeri,34062,zeri,34061,100.00,11.80
zeri,34062,zeri,34087,100.00,5.91
zeri,34063,zeri,34064,47.27,30.60
zeri,34064,zeri,34063,98.42,28.20
zeri,34064,zeri,34062,16.11,6.27
zeri,34065,zeri,34058,100.00,7.57
zeri,34076,zeri,34082,37.85,15.70
zeri,34078,zeri,34084,95.00,56.60
zeri,34083,zeri,34096,85.55,13.70
zeri,34084,zeri,34078,100.00,54.40
zeri,34084,zeri,34105,100.00,9.20
zeri,34082,zeri,34076,100.00,14.10
zeri,34088,zeri,34099,94.37,34.90
zeri,34090,zeri,34092,94.82,19.20
zeri,34090,zeri,34091,100.00,18.00
zeri,34091,zeri,34090,94.88,20.00
zeri,34091,zeri,34092,88.76,13.70
zeri,34092,zeri,34090,97.73,20.00
zeri,34092,zeri,34091,97.52,13.70
zeri,34093,zeri,42097,100.00,73.70
zeri,34096,zeri,34083,100.00,12.20
zeri,34097,zeri,34076,100.00,10.60
zeri,34098,zeri,34061,97.17,6.27
zeri,34099,zeri,34088,99.80,34.10
zeri,34101,zeri,34102,96.85,65.00
zeri,34101,zeri,34103,69.88,10.60
zeri,34103,zeri,34101,100.00,11.40
zeri,34103,zeri,34102,100.00,8.27
zeri,34102,zeri,34101,99.12,66.80
zeri,34102,zeri,34103,69.20,10.00
zeri,34105,zeri,34084,75.13,9.49
zeri,34109,zeri,34110,52.20,31.00
zeri,34109,zeri,34111,20.18,9.80
zeri,34109,zeri,34122,29.41,7.84
zeri,34110,zeri,34109,100.00,29.00
zeri,34110,zeri,34111,39.09,20.40
zeri,34110,zeri,34112,24.32,11.00
zeri,34110,zeri,34116,20.50,8.63
zeri,34111,zeri,34112,63.61,29.40
zeri,34111,zeri,34110,100.00,20.80
zeri,34111,zeri,34109,100.00,9.80
zeri,34111,zeri,34113,20.38,9.41
zeri,34112,zeri,34111,100.00,26.80
zeri,34112,zeri,34113,32.79,12.60
zeri,34112,zeri,34110,100.00,11.40
zeri,34112,zeri,34114,23.16,8.66
zeri,34113,zeri,34112,100.00,14.50
zeri,34113,zeri,34111,100.00,9.41
zeri,34114,zeri,34112,92.95,9.41
zeri,34116,zeri,34110,100.00,10.60
zeri,34119,zeri,34118,100.00,18.20
zeri,34119,zeri,34120,24.32,12.30
zeri,34118,zeri,34119,50.56,18.30
zeri,34120,zeri,34119,100.00,13.30
zeri,34120,zeri,34121,32.57,9.80
zeri,34121,zeri,34120,28.57,10.70
zeri,34122,zeri,34123,50.67,23.80
zeri,34122,zeri,34109,99.59,9.52
zeri,34123,zeri,34122,100.00,24.70
zeri,34123,zeri,34124,29.08,12.50
zeri,34123,zeri,34125,24.16,8.63
zeri,34124,zeri,34123,100.00,12.50
zeri,34125,zeri,34123,100.00,8.24
zeri,34127,zeri,34129,80.31,26.30
zeri,34127,zeri,34128,81.29,25.90
zeri,34127,zeri,34131,21.37,12.20
zeri,34128,zeri,34129,99.16,73.70
zeri,34128,zeri,34127,97.75,24.30
zeri,34128,zeri,34131,25.01,9.80
zeri,34131,zeri,34134,38.29,15.30
zeri,34131,zeri,34130,33.41,14.90
zeri,34131,zeri,34127,100.00,13.30
zeri,34131,zeri,34136,20.95,13.30
zeri,34131,zeri,34129,100.00,12.90
zeri,34129,zeri,34128,99.82,75.30
zeri,34129,zeri,34127,97.30,25.10
zeri,34129,zeri,34131,25.50,12.20
zeri,34129,zeri,34130,16.67,7.84
zeri,34130,zeri,34131,49.24,13.30
zeri,34130,zeri,34132,20.07,9.80
zeri,34130,zeri,34133,20.57,9.02
zeri,34132,zeri,34133,99.69,63.10
zeri,34132,zeri,34130,100.00,9.41
zeri,34133,zeri,34132,100.00,62.40
zeri,34133,zeri,34130,100.00,9.02
zeri,34134,zeri,34136,57.06,22.70
zeri,34134,zeri,34131,100.00,20.80
zeri,34136,zeri,34134,100.00,20.90
zeri,34136,zeri,34131,100.00,11.10
zeri,34144,zeri,34145,100.00,22.00
zeri,34145,zeri,34144,75.50,21.60
zeri,34147,zeri,34146,100.00,17.30
zeri,34147,zeri,34149,20.37,9.41
zeri,34147,zeri,34148,19.97,6.67
zeri,34148,zeri,34147,100.00,6.30
zeri,34146,zeri,34147,44.51,18.10
zeri,34149,zeri,34147,100.00,9.02
zeri,34151,zeri,34152,100.00,32.90
zeri,34152,zeri,34151,93.98,32.50
zeri,34159,zeri,34152,100.00,8.24
zeri,34159,zeri,34151,100.00,7.84
zeri,34163,zeri,34166,75.27,19.60
zeri,34163,zeri,34165,86.25,9.80
zeri,34165,zeri,34166,84.23,12.50
zeri,34165,zeri,34163,94.89,9.02
zeri,34168,zeri,34167,84.14,22.40
zeri,34168,zeri,34170,93.14,8.24
zeri,34167,zeri,34168,100.00,25.10
zeri,34166,zeri,34163,100.00,16.10
zeri,34166,zeri,34165,100.00,14.10
zeri,34169,zeri,34170,100.00,35.30
zeri,34169,zeri,34168,84.07,10.20
zeri,34170,zeri,34169,96.86,36.60
zeri,34170,zeri,34168,82.78,9.45
zeri,34170,zeri,34167,67.75,7.48
zeri,34174,zeri,34176,100.00,35.70
zeri,34174,zeri,34175,99.45,30.20
zeri,34174,zeri,34178,99.66,9.80
zeri,34176,zeri,34174,97.13,38.40
zeri,34176,zeri,34175,96.36,36.10
zeri,34176,zeri,34178,98.27,17.30
zeri,34175,zeri,34176,98.53,34.80
zeri,34175,zeri,34174,95.27,32.00
zeri,34175,zeri,34178,100.00,11.10
zeri,34177,zeri,34179,88.49,29.00
zeri,34177,zeri,34178,97.21,14.90
zeri,34179,zeri,34177,100.00,26.70
zeri,34179,zeri,34178,100.00,18.80
zeri,34179,zeri,34182,47.16,11.00
zeri,34178,zeri,34179,47.10,20.00
zeri,34178,zeri,34176,49.38,17.30
zeri,34178,zeri,34177,54.54,14.10
zeri,34178,zeri,34174,46.03,11.40
zeri,34178,zeri,34175,49.22,11.40
zeri,34181,zeri,34182,98.89,54.10
zeri,34181,zeri,34179,99.15,10.60
zeri,34182,zeri,34181,97.03,51.80
zeri,34182,zeri,34179,100.00,10.60
zeri,34184,zeri,34191,70.35,19.40
zeri,34189,zeri,34198,80.09,23.90
zeri,34189,zeri,34195,94.85,23.50
zeri,34191,zeri,34184,97.75,22.40
zeri,34192,zeri,34193,95.30,29.80
zeri,34193,zeri,34192,98.47,26.40
zeri,34193,zeri,34191,99.66,5.51
zeri,34195,zeri,34189,79.89,26.30
zeri,34195,zeri,34198,67.94,16.50
zeri,34198,zeri,34189,100.00,25.50
zeri,34198,zeri,34195,100.00,14.10
zeri,34200,zeri,34201,100.00,63.20
zeri,34203,zeri,34202,97.07,44.30
zeri,34203,zeri,34205,69.09,8.63
zeri,34203,zeri,34204,69.05,8.24
zeri,34202,zeri,34203,59.34,47.80
zeri,34202,zeri,34204,53.32,10.60
zeri,34202,zeri,34205,52.91,10.60
zeri,34201,zeri,34200,97.87,61.40
zeri,34204,zeri,34205,99.16,64.20
zeri,34204,zeri,34202,100.00,10.20
zeri,34205,zeri,34204,99.80,66.70
zeri,34206,zeri,34249,99.02,10.60
zeri,34207,zeri,34206,97.92,9.02
zeri,34410,zeri,34398,100.00,25.10
zeri,34409,zeri,74357,99.14,41.60
zeri,34409,zeri,74358,97.04,37.30
zeri,34417,zeri,34418,96.05,42.40
zeri,34417,zeri,34419,100.00,34.10
zeri,34419,zeri,34417,92.84,36.50
zeri,34419,zeri,34418,86.95,33.30
zeri,34418,zeri,34417,100.00,45.10
zeri,34418,zeri,34419,100.00,31.00
zeri,34420,zeri,34421,99.99,97.60
zeri,34420,zeri,34440,99.95,19.20
zeri,34421,zeri,34420,99.99,97.60
zeri,34421,zeri,34440,99.95,19.20
zeri,34423,zeri,34422,98.47,72.50
zeri,34422,zeri,34423,100.00,69.00
zeri,34424,zeri,34439,59.36,12.50
zeri,34425,zeri,34438,100.00,98.80
zeri,34427,zeri,34429,97.29,27.10
zeri,34430,zeri,34431,39.94,16.10
zeri,34430,zeri,34429,99.18,12.90
zeri,34429,zeri,34427,99.49,24.70
zeri,34429,zeri,34430,97.52,15.70
zeri,34431,zeri,34430,94.44,15.70
zeri,34432,frick,11931,97.23,60.50
zeri,34438,zeri,34425,100.00,98.80
zeri,34440,zeri,34420,55.24,18.40
zeri,34440,zeri,34421,55.24,18.40
zeri,34442,zeri,34443,99.12,77.60
zeri,34439,zeri,34424,100.00,11.00
zeri,34443,zeri,34442,99.41,78.80
zeri,34446,zeri,34447,41.80,14.40
zeri,34447,zeri,34446,100.00,14.90
zeri,34447,zeri,34449,18.63,7.84
zeri,34449,zeri,34447,100.00,7.06
zeri,34453,zeri,34454,99.44,64.30
zeri,34454,zeri,34453,99.82,64.30
zeri,34458,zeri,34470,93.63,11.50
zeri,34458,zeri,34469,77.35,10.30
zeri,34459,zeri,34458,100.00,8.27
zeri,34469,zeri,34458,86.48,11.00
zeri,34469,zeri,34470,86.30,8.24
zeri,34470,zeri,34469,81.03,11.80
zeri,34470,zeri,34458,98.45,10.60
zeri,34479,zeri,34481,82.55,34.10
zeri,34479,zeri,34480,79.04,25.50
zeri,34482,frick,330,94.44,54.90
zeri,34482,zeri,34484,85.01,31.80
zeri,34482,zeri,34483,100.00,28.20
zeri,34480,zeri,34481,99.49,71.30
zeri,34480,zeri,34479,98.40,25.50
zeri,34481,zeri,34480,97.19,71.10
zeri,34481,zeri,34479,99.04,35.30
zeri,34483,zeri,34482,90.39,29.40
zeri,34483,frick,330,84.99,27.50
zeri,34483,zeri,34484,73.90,25.90
zeri,34484,zeri,34483,100.00,31.00
zeri,34484,frick,330,100.00,28.60
zeri,34484,zeri,34482,100.00,27.50
zeri,34490,zeri,34491,99.55,69.80
zeri,34491,zeri,34490,99.81,69.80
zeri,34493,zeri,34494,99.58,68.60
zeri,34494,zeri,34493,99.31,67.80
zeri,34495,zeri,34496,99.88,63.90
zeri,34495,frick,401,99.58,55.70
zeri,34496,zeri,34495,99.52,65.10
zeri,34496,frick,401,100.00,54.10
zeri,34500,zeri,34501,99.83,68.20
zeri,34501,zeri,34500,98.36,68.60
zeri,34503,zeri,34510,93.41,59.40
zeri,34503,zeri,34507,93.53,11.80
zeri,34503,zeri,34509,35.41,9.06
zeri,34503,zeri,34504,33.35,8.66
zeri,34504,zeri,34509,98.15,49.00
zeri,34504,zeri,34510,41.53,9.80
zeri,34504,zeri,34503,42.43,6.67
zeri,34505,zeri,34506,98.88,52.50
zeri,34505,zeri,34508,96.91,52.20
zeri,34507,zeri,34510,41.27,17.30
zeri,34507,zeri,34503,41.46,12.60
zeri,34507,zeri,34508,41.60,10.60
zeri,34507,zeri,34509,41.72,9.06
zeri,34507,zeri,34505,37.10,8.27
zeri,34506,zeri,34505,99.45,55.30
zeri,34506,zeri,34508,99.97,52.90
zeri,34508,zeri,34505,89.48,53.50
zeri,34508,zeri,34506,90.58,52.80
zeri,34508,zeri,34507,98.58,11.00
zeri,34510,zeri,34503,100.00,61.40
zeri,34510,zeri,34507,98.05,16.50
zeri,34510,zeri,34509,36.67,10.20
zeri,34510,zeri,34504,33.95,9.45
zeri,34509,zeri,34504,80.75,51.40
zeri,34509,zeri,34510,35.99,10.70
zeri,34509,zeri,34507,100.00,9.49
zeri,34509,zeri,34503,36.87,7.51
zeri,34515,zeri,34516,100.00,10.20
zeri,34513,zeri,34514,99.14,17.30
zeri,34514,zeri,34513,97.28,17.60
zeri,34518,zeri,34595,98.45,76.10
zeri,34518,zeri,34594,71.14,28.60
zeri,34519,zeri,34522,94.09,60.60
zeri,34516,zeri,34515,86.71,12.90
zeri,34520,zeri,34531,92.30,18.90
zeri,34522,zeri,34519,91.06,60.40
zeri,34523,zeri,34529,26.61,16.50
zeri,34525,zeri,34527,26.84,9.41
zeri,34524,zeri,34528,27.73,12.50
zeri,34527,zeri,34525,100.00,9.80
zeri,34527,zeri,34539,75.64,9.80
zeri,34528,zeri,34524,100.00,12.50
zeri,34528,zeri,34540,98.79,7.84
zeri,34529,zeri,34538,100.00,20.00
zeri,34529,zeri,34523,100.00,19.60
zeri,34530,zeri,34533,96.53,10.70
zeri,34531,zeri,34520,76.35,15.40
zeri,34533,zeri,34530,99.12,13.10
zeri,34534,zeri,34535,60.92,15.30
zeri,34535,zeri,34534,82.51,18.20
zeri,34536,zeri,34537,60.71,15.40
zeri,34537,zeri,34536,65.68,14.10
zeri,34538,zeri,34529,82.32,19.70
zeri,34539,zeri,34527,88.91,10.30
zeri,34542,zeri,34541,99.32,60.00
zeri,34540,zeri,34528,68.67,9.84
zeri,34541,zeri,34542,99.55,58.70
zeri,34544,zeri,34546,100.00,45.50
zeri,34544,zeri,34552,90.09,40.80
zeri,34544,zeri,34547,100.00,15.30
zeri,34544,zeri,34545,67.48,12.90
zeri,34544,zeri,34551i,100.00,9.41
zeri,34546,zeri,34544,91.79,45.50
zeri,34546,zeri,34552,82.37,27.80
zeri,34546,zeri,34547,97.96,19.60
zeri,34546,zeri,34545,61.25,10.20
zeri,34546,zeri,34551i,97.34,8.24
zeri,34547,zeri,34546,97.70,18.80
zeri,34547,zeri,34544,92.75,14.50
zeri,34547,zeri,34552,83.78,11.00
zeri,34545,zeri,34552,100.00,14.50
zeri,34545,zeri,34544,100.00,12.20
zeri,34545,zeri,34546,100.00,10.20
zeri,34548,zeri,34551,97.80,62.00
zeri,34549,zeri,34553,96.81,62.70
zeri,34549,zeri,34550,73.55,14.90
zeri,34550,zeri,34553,95.55,18.40
zeri,34550,zeri,34549,96.91,16.90
zeri,34551,zeri,34548,100.00,62.40
zeri,34552,zeri,34544,100.00,40.20
zeri,34552,zeri,34546,100.00,27.20
zeri,34552,zeri,34551i,100.00,16.90
zeri,34552,zeri,34545,77.74,13.00
zeri,34552,zeri,34547,100.00,11.40
zeri,34551i,zeri,34552,32.73,15.40
zeri,34551i,zeri,34544,38.44,9.84
zeri,34551i,zeri,34546,41.42,5.91
zeri,34553,zeri,34549,100.00,63.50
zeri,34553,zeri,34550,74.77,14.90
zeri,34553,zeri,34551i,100.00,10.20
zeri,34559,zeri,34560,82.65,11.40
zeri,34560,zeri,34559,97.62,12.20
zeri,34561,zeri,34563,93.63,20.50
zeri,34563,zeri,34561,100.00,20.40
zeri,34572,zeri,34573,100.00,35.70
zeri,34573,zeri,34572,99.82,38.00
zeri,34579,zeri,34583,100.00,27.50
zeri,34580,zeri,34581,99.94,69.80
zeri,34580,zeri,34584,100.00,26.70
zeri,34581,zeri,34580,99.65,71.40
zeri,34581,zeri,34584,100.00,22.40
zeri,34583,zeri,34579,66.97,25.60
zeri,34584,zeri,34580,80.92,26.70
zeri,34584,zeri,34581,80.38,24.70
zeri,34585,zeri,34586,98.27,34.30
zeri,34586,zeri,34585,99.16,32.40
zeri,34590,zeri,34591,99.98,68.60
zeri,34590,zeri,34593,99.90,20.80
zeri,34590,zeri,34592,100.00,16.50
zeri,34590,zeri,34589,99.67,12.90
zeri,34591,zeri,34590,99.22,67.50
zeri,34591,zeri,34593,99.30,15.70
zeri,34591,zeri,34592,100.00,12.90
zeri,34589,zeri,34592,99.77,31.80
zeri,34589,zeri,34593,97.76,31.00
zeri,34594,zeri,34518,100.00,30.20
zeri,34594,zeri,34595,100.00,27.10
zeri,34592,zeri,34593,98.28,61.60
zeri,34592,zeri,34589,99.09,31.40
zeri,34592,zeri,34590,97.74,17.60
zeri,34592,zeri,34591,98.74,15.70
zeri,34595,zeri,34518,99.77,74.50
zeri,34595,zeri,34594,72.24,27.10
zeri,34593,zeri,34592,100.00,62.70
zeri,34593,zeri,34589,99.61,31.80
zeri,34593,zeri,34591,99.99,14.50
zeri,34593,zeri,34590,99.84,13.70
zeri,34598,zeri,34599,98.03,22.70
zeri,34599,zeri,34598,97.71,22.40
zeri,34601,zeri,34600,99.39,61.20
zeri,34602,zeri,34603,98.29,64.30
zeri,34603,zeri,34602,99.91,61.60
zeri,34600,zeri,34601,97.45,61.80
zeri,34606,zeri,34607,89.16,16.50
zeri,34607,zeri,34606,100.00,14.50
zeri,34611,zeri,34610,96.53,59.40
zeri,34609,zeri,34608,87.12,11.00
zeri,34608,zeri,34609,99.00,9.80
zeri,34610,zeri,34611,100.00,56.90
zeri,34614,zeri,34618,98.19,27.20
zeri,34614,zeri,34619,97.11,23.20
zeri,34614,zeri,34620,100.00,21.70
zeri,34615,zeri,34616,93.69,35.30
zeri,34615,zeri,34617,95.96,31.80
zeri,34617,zeri,34616,99.75,69.00
zeri,34617,zeri,34615,98.58,30.60
zeri,34616,zeri,34617,100.00,69.80
zeri,34616,zeri,34615,99.02,34.90
zeri,34618,zeri,34619,99.41,65.50
zeri,34618,zeri,34620,100.00,53.30
zeri,34618,zeri,34614,96.09,24.30
zeri,34619,zeri,34618,98.79,63.90
zeri,34619,zeri,34620,99.62,58.80
zeri,34619,zeri,34614,95.32,22.70
zeri,34620,zeri,34619,95.67,57.30
zeri,34620,zeri,34618,97.50,53.80
zeri,34620,zeri,34614,94.00,24.50
zeri,34628,zeri,34630,92.95,16.90
zeri,34630,zeri,34628,98.86,15.70
zeri,34632,zeri,34634,98.32,6.69
zeri,34634,zeri,34635,98.90,27.50
zeri,34635,zeri,34634,73.10,26.30
zeri,34637,zeri,34636,100.00,21.60
zeri,34636,zeri,34637,89.14,25.30
zeri,34656,zeri,34654,100.00,8.24
zeri,34657,zeri,34658,89.99,40.80
zeri,34657,zeri,34659,34.66,16.10
zeri,34657,zeri,34660,30.95,9.41
zeri,34659,zeri,34658,100.00,20.00
zeri,34659,zeri,34657,100.00,18.40
zeri,34658,zeri,34657,100.00,36.90
zeri,34658,zeri,34659,39.27,18.80
zeri,34658,zeri,34660,35.69,14.50
zeri,34660,zeri,34658,100.00,11.80
zeri,34661,zeri,34663,38.06,17.60
zeri,34661,zeri,34664,38.14,17.30
zeri,34661,zeri,34662,30.43,14.50
zeri,34661,zeri,34665,29.00,10.20
zeri,34663,zeri,34664,44.48,23.10
zeri,34663,zeri,34661,100.00,15.70
zeri,34663,zeri,34662,37.06,14.50
zeri,34662,zeri,34663,47.17,16.10
zeri,34662,zeri,34661,100.00,11.40
zeri,34662,zeri,34664,42.98,11.40
zeri,34665,zeri,34664,54.34,17.30
zeri,34664,zeri,34663,43.47,23.50
zeri,34664,zeri,34661,100.00,18.00
zeri,34664,zeri,34665,41.39,18.00
zeri,34664,zeri,34662,32.75,11.00
zeri,34666,zeri,34668,47.20,30.00
zeri,34666,zeri,34667,52.92,22.00
zeri,34667,zeri,34666,100.00,21.60
zeri,34669,zeri,34670,45.28,33.30
zeri,34669,zeri,34672,15.55,9.80
zeri,34668,zeri,34666,100.00,31.10
