sourceA,idA,sourceB,idB,overlap,similarity
frick,10375,frick,10297d,76.85,12.20
frick,10382,frick,10383,100.00,12.50
frick,10383,frick,10382,33.60,11.00
frick,10391,frick,10391a,51.71,19.70
frick,10391a,frick,10391,98.89,19.60
frick,10397,frick,10397a,42.10,14.90
frick,10397a,frick,10397,100.00,15.30
frick,103a,frick,10851a,100.00,63.50
frick,103b,frick,10851b,100.00,61.20
frick,10401,frick,10430,100.00,15.40
frick,10418,frick,10418b,62.90,12.20
frick,10418b,frick,10418,99.36,12.90
frick,10419,zeri,42352,97.46,33.70
frick,10419a,zeri,42354,98.33,35.30
frick,10422a,zeri,89018,97.54,52.90
frick,10422a,zeri,89020,87.12,37.30
frick,10422,zeri,89017,95.57,47.40
frick,10422,zeri,89019,59.50,17.50
frick,10424,frick,10424a,44.09,20.20
frick,10424,zeri,37974,42.70,19.80
frick,10424a,zeri,37974,98.50,66.50
frick,10424a,frick,10424,100.00,20.10
frick,10428,frick,10428a,32.19,10.20
frick,10428a,frick,10428,38.91,7.91
frick,10430,frick,10401,91.77,14.70
frick,10441,frick,8862,91.60,13.40
frick,10446,zeri,82702,100.00,30.60
frick,10446,zeri,82685,100.00,20.00
frick,1045,frick,1045a,97.77,73.10
frick,10456,zeri,70316,99.46,46.70
frick,10458,frick,12459,88.71,38.40
frick,10458,zeri,71487,96.90,23.90
frick,1045a,frick,1045,100.00,67.30
frick,10484a,frick,10484c,51.57,8.27
frick,10486a,frick,10486b,46.66,18.80
frick,10486b,frick,10486a,97.06,17.30
frick,10488,frick,11027,85.15,20.50
frick,10504,frick,10504d,79.51,16.90
frick,10504d,frick,10504,100.00,18.80
frick,10507,frick,10507b,55.31,18.60
frick,10507,frick,10507a,42.97,12.30
frick,10507a,frick,10507,100.00,14.50
frick,10507b,frick,10507,99.37,17.60
frick,1051,zeri,66975,100.00,48.10
frick,1051,frick,1051a,96.30,26.10
frick,1051a,zeri,66975,100.00,51.70
frick,1051a,frick,1051,97.89,50.80
frick,1052,zeri,59022,99.97,64.30
frick,1054,frick,1054a,44.41,25.90
frick,1054a,frick,1054,100.00,25.50
frick,1056,frick,8384,100.00,55.30
frick,10613m,frick,10613l,100.00,18.90
frick,10613l,frick,10613m,40.45,22.40
frick,10615b,frick,10615a,99.61,7.14
frick,10617,frick,10617a,51.63,16.50
frick,10617,frick,10617b,43.07,16.10
frick,10617a,frick,10617,96.87,15.00
frick,10617b,frick,10617,93.22,13.40
frick,10619,frick,10633,49.59,15.70
frick,10632e,frick,10632i,59.49,10.60
frick,10632g,frick,10632d,100.00,8.24
frick,10632i,frick,10632e,100.00,16.10
frick,10632m,frick,10632o,39.40,21.60
frick,10632o,frick,10632m,100.00,19.60
frick,10632r,frick,10632t,53.52,18.80
frick,10632t,frick,10632r,100.00,20.10
frick,10632t,frick,10632s,33.07,8.27
frick,10633,frick,10619,100.00,14.50
frick,10664i,frick,10664h,37.39,10.60
frick,10664p,frick,10664q,44.05,16.70
frick,10667,frick,10667a,38.60,17.30
frick,10667,frick,10667c,24.54,9.41
frick,10667a,frick,10667,100.00,18.40
frick,10685,zeri,66041,69.56,17.60
